"","comid","urbn","frst","wtnd","agrc","shrb","urbn_t","frst_t","wtnd_t","agrc_t","shrb_t"
"32",23751812,0,73.91,0,3.74,8.48,0,73.91,0,3.74,8.48
"33",23751814,0,58.95,0,13.09,13.01,0,84.65,0,0.31,11.33
"34",23751816,0,60.75,0,0,16.07,0,85.57,0,0,11.89
"35",23751818,0,85.81,0,0,10.05,0,85.27,0,0,12.17
"36",23751820,0,72.51,0,0,19.56,0,86.88,0,0,11.99
"37",23751822,0,87.07,0,0,11.77,0,88.48,0,0,11
"38",23751824,0,81.75,0,0,18.26,0,89.1,0,0,10.9
"39",23751826,0,94.8,0,0,5.2,0,87.75,0,0,12.25
"40",23751828,0,84.95,0,0,15.05,0,84.95,0,0,15.05
"41",23751830,5.97,24.69,0,41.94,8.62,0.85,80.66,0.15,0.37,12.65
